PersonType,Age,CityState,Injury,SafetyDevice,Date,Time,County,Location,Troop
ADULT,20,"RUSSELLVILLE, MO",MINOR,YES,2024-08-28,6:15AM,MONITEAU,U.S. 50 AT ROUTE E,F
ADULT,25,"COLUMBIA, MO",MINOR,YES,2024-08-27,7:38PM,MONITEAU,US 50 AT CROSS LANE,F
ADULT,36,"JOLIET, IL",NO INJURY,YES,2024-08-27,2:30PM,CALLAWAY,"EASTBOUND I-70, 152.8 MILE MARKER",F
ADULT,30,"OLD MONROE, MO",MODERATE,YES,2024-08-27,2:30PM,CALLAWAY,"EASTBOUND I-70, 152.8 MILE MARKER",F
ADULT,24,"EXCELSIOR SPRINGS, MO",MODERATE,YES,2024-08-27,1:28PM,COOPER,I-70 EASTBOUND AT 95.4MM,F
ADULT,73,"WRIGHT CITY, MO",SERIOUS,YES,2024-08-27,12:00PM,AUDRAIN,ROUTE V AT AUDRAIN RD 585,F
JUVENILE,17,"JEFFERSON CITY, MO",MODERATE,NO,2024-08-26,9:45PM,COLE,RT. B -- SOUTH OF PINE RIDGE ROAD,F
ADULT,49,"COLUMBIA, MO",MODERATE,YES,2024-08-26,6:30AM,CALLAWAY,U.S. 54 WESTBOUND AT I-70,F
ADULT,23,"FULTON, MO",NO INJURY,YES,2024-08-26,6:30AM,CALLAWAY,U.S. 54 WESTBOUND AT I-70,F
ADULT,41,"CHESTERFIELD, MO",SERIOUS,NO,2024-08-25,11:45PM,MONTGOMERY,INTERSTATE 70 EASTBOUND AT THE 171 MILE MARKER,F
ADULT,21,"GRAVOIS, MO",NO INJURY,YES,2024-08-25,10:57PM,MILLER,ROUTE W AT US BUSINESS 43,F
ADULT,41,"SEDALIA, MO",MINOR,YES,2024-08-25,10:57PM,MILLER,ROUTE W AT US BUSINESS 43,F
ADULT,56,"MEXICO, MO",MINOR,NO,2024-08-25,6:30PM,AUDRAIN,US 54 EASTBOUND AT AUDRAIN CALLAWAY COUNTY LINE,F
ADULT,39,"CAMDENTON, MO",SERIOUS,NO,2024-08-24,5:50PM,CAMDEN,SUNNY SLOPE DRIVE APPROXIMATELY 439 FEET NORTH OF BLAIR DRIVE,F
ADULT,19,"MEXICO, MO",NO INJURY,YES,2024-08-24,4:30PM,AUDRAIN,RT B 50 FETT SOUTH OF RT KK,F
JUVENILE,17,"RUSH HILL, MO",MINOR,YES,2024-08-24,4:30PM,AUDRAIN,RT B 50 FETT SOUTH OF RT KK,F
ADULT,20,"RUSH HILL, MO",MINOR,YES,2024-08-24,4:30PM,AUDRAIN,RT B 50 FETT SOUTH OF RT KK,F
ADULT,19,"RUSH HILL, MO",MODERATE,YES,2024-08-24,6:10AM,AUDRAIN,US 54 AT COUNTY RD 834,F
ADULT,18,"HERMANN, MO",MINOR,YES,2024-08-24,12:15AM,GASCONADE,ROUTE E AT MO 19,F
ADULT,20,"JEFFERSON CITY, MO",MINOR,YES,2024-08-23,5:51PM,COLE,WESTBOUND US 54 JUST WEST OF ROUTE CC,F
ADULT,51,"JEFFERSON CITY, MO",NO INJURY,YES,2024-08-23,5:51PM,COLE,WESTBOUND US 54 JUST WEST OF ROUTE CC,F
ADULT,22,"COLUMBIA, MO",MINOR,YES,2024-08-22,9:15PM,COOPER,I70 EASTBOUND AT THE ROCHEPORT BRIDGE,F
ADULT,56,"WARRENSBURG, MO",NO INJURY,YES,2024-08-22,9:15PM,COOPER,I70 EASTBOUND AT THE ROCHEPORT BRIDGE,F
ADULT,39,"LONE JACK, MO",MINOR,YES,2024-08-22,8:25PM,CAMDEN,OLD ROUTE 5 -- 638 FEET SOUTH OF HARVEST ROAD,F
ADULT,42,"COLUMBIA, MO",MINOR,YES,2024-08-19,9:10PM,HOWARD,MO 240 NORTH OF ROUTE P,F
ADULT,62,"ROCKY MOUNT, MO",MODERATE,YES,2024-08-19,4:15PM,MORGAN,PRIVATE ROAD - WONDERLAND RD & HOWARD RD,F
ADULT,25,"GERALD, MO",MODERATE,NO,2024-08-17,11:45PM,GASCONADE,0.5 MILE NORTH OF STOLPE ROAD,F
ADULT,43,"ELDON, MO",FATAL,NO,2024-08-17,6:22PM,MILLER,RT. Z - 1630 FEET SOUTH OF OLD MARTIN FARM ROAD,F
ADULT,77,"CAMDENTON, MO",MINOR,YES,2024-08-17,3:35PM,CAMDEN,US 54 EASTBOUND EAST OF RT A,F
ADULT,18,"OSAGE BEACH, MO",MINOR,NO,2024-08-16,10:35PM,CAMDEN,US 54 WEST OF LYNCH DRIVE,F
ADULT,26,"WINFIELD, MO",NO INJURY,YES,2024-08-16,3:25PM,MILLER,US HIGHWAY 54 WESTBOUND 0.25 MILE WEST OF TOLLWOOD ROAD,F
JUVENILE,16,"DIXON, MO",MINOR,YES,2024-08-16,3:25PM,MILLER,US HIGHWAY 54 WESTBOUND 0.25 MILE WEST OF TOLLWOOD ROAD,F
ADULT,18,"BLAND, MO",NO INJURY,YES,2024-08-16,1:50PM,OSAGE,ROUTE NN APPROXIMATELY 900 FEET NORTH OF ISGRIGG LANE,F
ADULT,77,"BLAND, MO",MODERATE,NO,2024-08-16,1:50PM,OSAGE,ROUTE NN APPROXIMATELY 900 FEET NORTH OF ISGRIGG LANE,F
ADULT,19,"BOONVILLE, MO",SERIOUS,NO,2024-08-16,12:05AM,COOPER,ROUTE Z EAST OF FRANKLIN DRIVE,F
JUVENILE,17,"HOLTS SUMMIT, MO",NO INJURY,YES,2024-08-15,5:20PM,CALLAWAY,RT AE AT GLENWOOD DR,F
ADULT,22,"JEFFERSON CITY, MO",MINOR,YES,2024-08-15,5:20PM,CALLAWAY,RT AE AT GLENWOOD DR,F
JUVENILE,17,"MEXICO, MO",MODERATE,YES,2024-08-14,2:25PM,AUDRAIN,MO 22 - 749 FEET EAST OF AUDRAIN ROAD 379,F
ADULT,42,"CENTRALIA, MO",NO INJURY,YES,2024-08-14,2:25PM,AUDRAIN,MO 22 - 749 FEET EAST OF AUDRAIN ROAD 379,F
ADULT,41,"JEFFERSON CITY, MO",MINOR,YES,2024-08-13,6:05PM,OSAGE,US 63 NORTHBOUND AT SUMMER RIDGE LANE,F
JUVENILE,16,"WESTPHALIA, MO",NO INJURY,YES,2024-08-13,6:05PM,OSAGE,US 63 NORTHBOUND AT SUMMER RIDGE LANE,F
ADULT,22,"COLUMBIA, MO",MODERATE,YES,2024-08-13,6:10AM,CALLAWAY,I-70 EASTBOUND 144MM,F
ADULT,59,"ABERDEEN, MD",NO INJURY,YES,2024-08-13,6:10AM,CALLAWAY,I-70 EASTBOUND 144MM,F
ADULT,28,"FAYETTE, MO",MODERATE,NO,2024-08-12,5:15AM,HOWARD,MO 5 0.25 MILE SOUTH OF COUNTY RD 423,F
ADULT,55,"STEEDMAN, MO",MODERATE,YES,2024-08-11,2:30PM,CALLAWAY,7436 COUNTY ROAD 428,F
JUVENILE,17,"ELK LAND, MO",NO INJURY,YES,2024-08-09,9:13PM,CAMDEN,MISSOURI 73 335 FT NORTH OF HECKMAN RD,F
JUVENILE,16,"PRESTON, MO",MINOR,YES,2024-08-09,9:13PM,CAMDEN,MISSOURI 73 335 FT NORTH OF HECKMAN RD,F
JUVENILE,17,"BUFFALO, MO",MINOR,NO,2024-08-09,9:13PM,CAMDEN,MISSOURI 73 335 FT NORTH OF HECKMAN RD,F
ADULT,31,"MOUNTAIN VIEW, MO",NO INJURY,NO,2024-08-09,6:20PM,MILLER,MISSOURI 42 AT ROUTE C,F
ADULT,27,"LAKE OZARK, MO",SERIOUS,YES,2024-08-09,6:20PM,MILLER,MISSOURI 42 AT ROUTE C,F
ADULT,41,"OWENSVILLE, MO",MINOR,YES,2024-08-09,4:00PM,GASCONADE,3/4 MILE SOUTH OF JETT ROAD ON ROUTE EE,F
ADULT,20,"OWENSVILLE, MO",MINOR,YES,2024-08-09,4:00PM,GASCONADE,3/4 MILE SOUTH OF JETT ROAD ON ROUTE EE,F
JUVENILE,16,"JEFFERSON CITY, MO",MINOR,YES,2024-08-08,6:15PM,COLE,BUFFALO ROAD AT 54 EASTBOUND,F
ADULT,54,"TONGANOXIE, KS",NO INJURY,YES,2024-08-07,9:33AM,CALLAWAY,INTERSTATE 70 EASTBOUND 161.8 MM,F
ADULT,27,"TROY, MO",FATAL,YES,2024-08-07,9:33AM,CALLAWAY,INTERSTATE 70 EASTBOUND 161.8 MM,F
ADULT,30,"BRUMLEY, MO",SERIOUS,NO,2024-08-06,3:30PM,MILLER,ROUTE U AT BENTOWN RIDGE RD,F
ADULT,27,"FORT LEONARD WOOD, MO",NO INJURY,YES,2024-08-06,3:30PM,MILLER,ROUTE U AT BENTOWN RIDGE RD,F
ADULT,36,"JUNIATA, NE",NO INJURY,YES,2024-08-05,8:50PM,MONTGOMERY,I-70 EASTBOUND 183 MILE MARKER,F
ADULT,69,"MONTGOMERY CITY, MO",SERIOUS,UNKNOWN,2024-08-05,8:50PM,MONTGOMERY,I-70 EASTBOUND 183 MILE MARKER,F
JUVENILE,17,"STOVER, MO",SERIOUS,NO,2024-08-05,12:45PM,MORGAN,"ROUTE WW, .82 MILE SOUTH OF ROUTE T",F
ADULT,78,"BARNETT, MO",MINOR,YES,2024-08-03,7:25PM,MORGAN,ROUTE W AT OAK LEAF DRIVE,F
ADULT,25,"BUNCETON, MO",MODERATE,NO,2024-08-03,6:00PM,COOPER,OLD CONCORD ROAD SOUTH OF 8179 OLD CONCORD,F
ADULT,70,"BUNCETON, MO",FATAL,NO,2024-08-03,6:00PM,COOPER,OLD CONCORD ROAD SOUTH OF 8179 OLD CONCORD,F
ADULT,31,"COLUMBIA, MO",NO INJURY,YES,2024-08-03,2:20AM,BOONE,I70 EASTBOUND 119.6 MILE MARKER,F
ADULT,30,"COLUMBIIA, MO",MINOR,YES,2024-08-03,2:20AM,BOONE,I70 EASTBOUND 119.6 MILE MARKER,F
JUVENILE,14,"VARNA, IL",NO INJURY,NO,2024-08-02,8:10PM,CAMDEN,COUNTRY RIDGE DR AT MARINA RESIDENCE DR,F
ADULT,59,"CAMDENTON, MO",MINOR,NO,2024-08-02,8:10PM,CAMDEN,COUNTRY RIDGE DR AT MARINA RESIDENCE DR,F
ADULT,54,"CAMDENTON, MO",SERIOUS,NO,2024-08-02,8:10PM,CAMDEN,COUNTRY RIDGE DR AT MARINA RESIDENCE DR,F
ADULT,19,"CENTRALIA, MO",MINOR,YES,2024-08-02,7:25PM,BOONE,"ROUTE CC, WEST OF SWINEY LN",F
ADULT,79,"BIG SPRING, MO",MINOR,UNKNOWN,2024-08-02,4:50PM,MONTGOMERY,"MO 19, 1.5 MILE NORTH OF MO 94",F
ADULT,34,"CALIFORNIA, MO",MINOR,YES,2024-08-01,12:10PM,MONITEAU,US 50 EASTBOUND WEST OF RT K,F
ADULT,67,"ELDON, MO",MINOR,YES,2024-08-01,12:25AM,MILLER,MO 52 AT ROUTE Y,F
ADULT,62,"STEEDMAN, MO",MINOR,UNKNOWN,2024-07-31,6:00PM,CALLAWAY,ROUTE CC ONE MILE NORTH OF HIGHWAY 94,F
ADULT,33,"STOUTLAND, MO",FATAL,YES,2024-07-29,10:45PM,CAMDEN,WILLOW CREEK ROAD NORTH OF BURNS DRIVE,F
ADULT,18,"ELDON, MO",MODERATE,YES,2024-07-29,5:37PM,MORGAN,ROUTE AA 612 FEET S OF LOOKOUT LN,F
ADULT,22,"CAMDENTON, MO",SERIOUS,NO,2024-07-29,7:34AM,COLE,US 54 WESTBOUND WEST OF PLEASANT HILL RD,F
JUVENILE,16,"OSAGE BEACH, MO",MINOR,YES,2024-07-28,9:45PM,MILLER,MO 42 WEST OF TWIN BRIDGES CIRCLE,F
ADULT,30,"TIPTON, MO",MODERATE,NO,2024-07-27,10:47PM,COOPER,EASTBOUND TUTTLE ROAD EAST OF SANDBANK DRIVE,F
ADULT,45,"TIPTON, MO",SERIOUS,NO,2024-07-27,10:47PM,COOPER,EASTBOUND TUTTLE ROAD EAST OF SANDBANK DRIVE,F
ADULT,19,"COLUMBIA, MO",MINOR,NO,2024-07-27,10:35PM,BOONE,MISSOURI 763 AT BROWN SCHOOL ROAD,F
ADULT,22,"COLUMBIA, MO",MINOR,NO,2024-07-27,10:35PM,BOONE,MISSOURI 763 AT BROWN SCHOOL ROAD,F
ADULT,20,"HUNTSVILLE, MO",NO INJURY,NO,2024-07-27,10:35PM,BOONE,MISSOURI 763 AT BROWN SCHOOL ROAD,F
ADULT,56,"SEDALIA, MO",NO INJURY,YES,2024-07-27,1:05PM,CALLAWAY,US 54 WESTBOUND AT DUNN DRIVE,F
ADULT,47,"OWENSBORO, KY",MODERATE,YES,2024-07-27,1:05PM,CALLAWAY,US 54 WESTBOUND AT DUNN DRIVE,F
ADULT,30,"FAYETTE, MO",MINOR,YES,2024-07-26,5:50PM,COOPER,OLD HIGHWAY 40 WEST OF BLACKBERRY COURT,F
ADULT,32,"FAYETTE, MO",MINOR,YES,2024-07-26,5:50PM,COOPER,OLD HIGHWAY 40 WEST OF BLACKBERRY COURT,F
JUVENILE,4,"FAYETTE, MO",MINOR,YES,2024-07-26,5:50PM,COOPER,OLD HIGHWAY 40 WEST OF BLACKBERRY COURT,F
JUVENILE,1,"FAYETTE, MO",MINOR,YES,2024-07-26,5:50PM,COOPER,OLD HIGHWAY 40 WEST OF BLACKBERRY COURT,F
ADULT,21,"BOONVILLE, MO",MODERATE,YES,2024-07-26,5:50PM,COOPER,OLD HIGHWAY 40 WEST OF BLACKBERRY COURT,F
ADULT,89,"ST. ELIZABETH,MO",SERIOUS,NO,2024-07-26,12:05PM,MILLER,HIGHWAY 52 AT BRUSHY CREEK ROAD,F
ADULT,66,"ST. ELIZABETH, MO",NO INJURY,YES,2024-07-26,12:05PM,MILLER,HIGHWAY 52 AT BRUSHY CREEK ROAD,F
ADULT,18,"HOLTS SUMMIT, MO",MINOR,YES,2024-07-26,2:15AM,CALLAWAY,COUNTY ROAD 391 SOUTH OF COUNTY ROAD 396,F
ADULT,56,"CAMDENTON, MO",MINOR,YES,2024-07-25,10:35PM,CAMDEN,EVERLY LOOP EAST OF QUILL LANE,F
ADULT,22,"HOLTS SUMMIT, MO",MINOR,YES,2024-07-25,8:10PM,CALLAWAY,WESTBOUND HIGHWAY 54 AT HILLERS CREEK,F
ADULT,57,"STOUTLAND, MO",MODERATE,NO,2024-07-25,6:05PM,CAMDEN,ROUTE BB SOUTH OF HIGH POINT ROAD,F
ADULT,39,"COLUMBIA, MO",MINOR,UNKNOWN,2024-07-24,1:47PM,COOPER,OLD CONCORD ROAD -- 0.5 MILE NORTH OF LONE GROVE ROAD,F
ADULT,34,"HALLSVILLE, MO",SERIOUS,NO,2024-07-22,5:20AM,MONTGOMERY,I-70 EASTBOUND 183 MILE MARKER,F
JUVENILE,11,"HALLSVILLE, MO",MINOR,YES,2024-07-22,5:20AM,MONTGOMERY,I-70 EASTBOUND 183 MILE MARKER,F
ADULT,29,"KANSAS CITY, MO",SERIOUS,NO,2024-07-22,12:30AM,CAMDEN,ROUTE MM WEST OF SHAWNEE FOUR DRIVE,F
ADULT,24,"HUNTSVILLE, MO",NO INJURY,YES,2024-07-21,12:45AM,BOONE,NORTHBOUND US 63 -- NORTH OF MCCOMAS ROAD,F
JUVENILE,7,"MOBERLY, MO",MINOR,YES,2024-07-21,12:45AM,BOONE,NORTHBOUND US 63 -- NORTH OF MCCOMAS ROAD,F
ADULT,30,"MOBERLY, MO",MINOR,YES,2024-07-21,12:45AM,BOONE,NORTHBOUND US 63 -- NORTH OF MCCOMAS ROAD,F
ADULT,31,"MOBERLY, MO",MINOR,YES,2024-07-21,12:45AM,BOONE,NORTHBOUND US 63 -- NORTH OF MCCOMAS ROAD,F
JUVENILE,11,"MOBERLY, MO",MINOR,YES,2024-07-21,12:45AM,BOONE,NORTHBOUND US 63 -- NORTH OF MCCOMAS ROAD,F
ADULT,27,"MANHATTAN, KS",MODERATE,NO,2024-07-20,7:53PM,COOPER,ROUTE AA 0.5 MILE EAST OF OAKLAND CHURCH ROAD,F
ADULT,46,"LITTLE ROCK, AR",SERIOUS,NO,2024-07-20,9:48AM,GASCONADE,MO 19 AT S OAK DR,F
ADULT,19,"CLIMAX SPRINGS, MO",MINOR,YES,2024-07-20,7:45AM,CAMDEN,RT TT WEST OF PISCES DRIVE,F
ADULT,87,"JEFFERSON CITY, MO",MINOR,NO,2024-07-18,8:05PM,COLE,ELSTON ROAD -- 1045 FEET WEST OF BOZLEY LANE,F
ADULT,26,"JEFFERSON CITY, MO",SERIOUS,NO,2024-07-18,8:05PM,COLE,ELSTON ROAD -- 1045 FEET WEST OF BOZLEY LANE,F
ADULT,70,"LAURIE, MO",MODERATE,UNKNOWN,2024-07-18,5:55PM,MORGAN,NORTH BUCK CREEK ROAD -- 70 FEET SOUTH OF WEST HAVEN ROAD,F
ADULT,47,"LEBANON, MO",MINOR,YES,2024-07-18,4:33PM,CALLAWAY,SOUTHBOUND HIGHWAY 63 1.7 MILES NORTH OF HIGHWAY 54,F
ADULT,47,"EXETER, MO",NO INJURY,YES,2024-07-18,4:33PM,CALLAWAY,SOUTHBOUND HIGHWAY 63 1.7 MILES NORTH OF HIGHWAY 54,F
ADULT,81,"SAINT ELIZABETH, MO",MODERATE,YES,2024-07-18,3:20PM,COLE,ROUTE B .25 MILE SOUTH OF WASHINGTON ST,F
ADULT,40,"BARNETT, MO",SERIOUS,NO,2024-07-17,6:45PM,CAMDEN,MO 5 AT TWIN RIVERS POINT,F
ADULT,40,"CAMERON, MO",NO INJURY,YES,2024-07-17,6:45PM,CAMDEN,MO 5 AT TWIN RIVERS POINT,F
ADULT,62,"JEFFERSON CITY, MO",SERIOUS,NO,2024-07-17,3:28PM,MORGAN,MO 52 AT RT C,F
JUVENILE,16,"BARNETT, MO",MINOR,YES,2024-07-17,3:28PM,MORGAN,MO 52 AT RT C,F
ADULT,80,"JEFFERSON CITY, MO",FATAL,NO,2024-07-17,3:28PM,MORGAN,MO 52 AT RT C,F
ADULT,36,"VERSAILLES, MO",SERIOUS,NO,2024-07-16,8:40PM,MORGAN,ROUTE W .1 MILE NORTH OF MARVIN CUTOFF,F
ADULT,63,"SUNRISE BEACH, MO",MINOR,YES,2024-07-16,2:12PM,CAMDEN,ROUTE F 1000 FEET SOUTH OF CRABAPPLE PASS,F
ADULT,75,"SUNRISE BEACH, MO",MODERATE,YES,2024-07-16,2:12PM,CAMDEN,ROUTE F 1000 FEET SOUTH OF CRABAPPLE PASS,F
ADULT,38,"HOLTS SUMMIT, MO",MINOR,YES,2024-07-16,10:45AM,MONTGOMERY,I-70 WESTBOUND 181.4 MILE MARKER,F
ADULT,62,"GRAVOIS MILLS, MO",SERIOUS,YES,2024-07-15,6:22PM,COLE,ROUTE C AT ST MICHAEL'S RD,F
ADULT,20,"LOHMAN, MO",SERIOUS,NO,2024-07-15,6:22PM,COLE,ROUTE C AT ST MICHAEL'S RD,F
ADULT,47,"JEFFERSON CITY, MO",NO INJURY,YES,2024-07-15,9:15AM,COLE,LAKE ROAD 0.5 MILES EAST OF ROUTE N,F
ADULT,58,"JEFFERSON CITY, MO",MODERATE,NO,2024-07-15,9:15AM,COLE,LAKE ROAD 0.5 MILES EAST OF ROUTE N,F
ADULT,18,"CHESTER, VA",FATAL,NO,2024-07-15,5:52AM,MONTGOMERY,INTERSTATE 70 WESTBOUND AT THE 169.6 MILE MARKER,F
ADULT,65,"URBANDALE, IA",MODERATE,YES,2024-07-14,10:25AM,BOONE,NORTHBOUND US 63 SOUTH OF HINTON,F
ADULT,52,"HERMANN, MO",MINOR,NO,2024-07-14,12:35AM,GASCONADE,1521 MO 100,F
ADULT,50,"MONTGOMERY CITY, MO",MINOR,NO,2024-07-14,12:35AM,GASCONADE,1521 MO 100,F
ADULT,59,"ST CHARLES, MO",NO INJURY,YES,2024-07-13,7:25PM,MONTGOMERY,I-70 EASTBOUND 183 MILE MARKER,F
ADULT,24,"INDEPENDENCE, MO",NO INJURY,YES,2024-07-13,7:25PM,MONTGOMERY,I-70 EASTBOUND 183 MILE MARKER,F
ADULT,37,"BURNS, KS",MINOR,YES,2024-07-13,7:25PM,MONTGOMERY,I-70 EASTBOUND 183 MILE MARKER,F
ADULT,84,"O'FALLON, MO",MINOR,YES,2024-07-13,7:25PM,MONTGOMERY,I-70 EASTBOUND 183 MILE MARKER,F
ADULT,33,"FULTON, MO",MODERATE,YES,2024-07-13,1:30PM,CALLAWAY,RT F AT RT KK,F
ADULT,45,"COLUMBIA, MO",MINOR,YES,2024-07-13,1:30PM,CALLAWAY,RT F AT RT KK,F
ADULT,18,"LINN CREEK, MO",NO INJURY,YES,2024-07-12,12:40PM,CAMDEN,"FRANKLIN DR, 760 FEET SOUTH OF ROUTE A",F
ADULT,40,"MONTREAL, MO",MINOR,YES,2024-07-12,12:40PM,CAMDEN,"FRANKLIN DR, 760 FEET SOUTH OF ROUTE A",F
ADULT,45,"LOHMAN, MO",MODERATE,YES,2024-07-11,8:25PM,COLE,ROUTE C AT SPRINGTOWN STATION,F
ADULT,33,"VERAILLES, MO",MINOR,NO,2024-07-11,5:00PM,MONITEAU,MO 5 1921 FEET SOUTH OF RICHARD BLVD,F
ADULT,39,"KANSAS CITY, MO",MINOR,UNKNOWN,2024-07-11,2:14AM,CAMDEN,MO 7 SOUTH OF GRANGER LANE,F
ADULT,64,"PORTLAND, MO",FATAL,NO,2024-07-10,7:30PM,CALLAWAY,"10970 OAK LANE IN PORTLAND, MO",F
ADULT,18,"STOVER, MO",MINOR,YES,2024-07-10,12:30PM,MILLER,MO 87 NEAR LIONS RD,F
ADULT,81,"OLEAN, MO",MODERATE,YES,2024-07-10,12:30PM,MILLER,MO 87 NEAR LIONS RD,F
ADULT,64,"FULTON, MO",MINOR,YES,2024-07-10,9:20AM,CAMDEN,US 54 WESTBOUND 100' WEST OF KISSICK WAY,F
ADULT,72,"FULTON, MO",MINOR,YES,2024-07-10,9:20AM,CAMDEN,US 54 WESTBOUND 100' WEST OF KISSICK WAY,F
ADULT,34,"TIPTON, MO",SERIOUS,YES,2024-07-09,8:15PM,MONITEAU,US 50 AT ROUTE E,F
ADULT,66,"JANESVILLE, WI",FATAL,NO,2024-07-09,8:15PM,MONITEAU,US 50 AT ROUTE E,F
ADULT,22,"COLUMBIA,MO",FATAL,YES,2024-07-09,9:25AM,BOONE,EASTBOUND INTERSTATE 70 AT THE 117.4 MILE MARKER,F
ADULT,36,"BRANDON, FL",NO INJURY,YES,2024-07-09,9:25AM,BOONE,EASTBOUND INTERSTATE 70 AT THE 117.4 MILE MARKER,F
ADULT,23,"OZARK, MO",MINOR,YES,2024-07-09,9:25AM,BOONE,EASTBOUND INTERSTATE 70 AT THE 117.4 MILE MARKER,F
ADULT,21,"STURGEON, MO",MINOR,YES,2024-07-09,9:25AM,BOONE,EASTBOUND INTERSTATE 70 AT THE 117.4 MILE MARKER,F
ADULT,57,"WOOLDRIDGE, M",MODERATE,YES,2024-07-09,9:00AM,BOONE,I-70 EASTBOUND E OF RT J,F
ADULT,22,"WOOLDRIDGE, MO",NO INJURY,YES,2024-07-09,9:00AM,BOONE,I-70 EASTBOUND E OF RT J,F
ADULT,22,"ELDON, MO",SERIOUS,NO,2024-07-08,11:55PM,MILLER,US 52 WEST OF ADMIRE RD,F
ADULT,19,"LAKE OZARK, MO",SERIOUS,YES,2024-07-08,11:55PM,MILLER,US 52 WEST OF ADMIRE RD,F
ADULT,23,"LINN CREEK, MO",MINOR,YES,2024-07-08,9:04AM,CAMDEN,MO 5 .25 MILE SOUTH OF HARVEST RD,F
ADULT,56,"LINN CREEK, MO",MINOR,YES,2024-07-08,9:04AM,CAMDEN,MO 5 .25 MILE SOUTH OF HARVEST RD,F
ADULT,41,"ST LOUIS, MO",NO INJURY,YES,2024-07-08,9:04AM,CAMDEN,MO 5 .25 MILE SOUTH OF HARVEST RD,F
ADULT,88,"CLIMAX SPRINGS, MO",MODERATE,YES,2024-07-08,9:04AM,CAMDEN,MO 5 .25 MILE SOUTH OF HARVEST RD,F
ADULT,33,"JAMESTOWN, MO",MODERATE,NO,2024-07-07,12:40PM,COLE,HIGHWAY 179 JUST SOUTH OF MARION MAIN STREET,F
ADULT,88,"LEE'S SUMMIT, MO",MINOR,NO,2024-07-07,9:45AM,CAMDEN,5620 THREE SEASONS ROAD,F
ADULT,41,"LAMPE, MO",MINOR,YES,2024-07-06,10:50PM,CAMDEN,US 54 EASTBOUND 121 FEET EAST OF WEST VALLEY DR,F
ADULT,71,"ST JOSEPH, MO",SERIOUS,NO,2024-07-06,4:00PM,BOONE,ROUTE O 1100 FEET EAST OF HANCOCK HILL ROAD,F
ADULT,67,"ST JOSEPH, MO",SERIOUS,NO,2024-07-06,4:00PM,BOONE,ROUTE O 1100 FEET EAST OF HANCOCK HILL ROAD,F
ADULT,18,"COLUMBIA, MO",NO INJURY,YES,2024-07-06,1:00PM,BOONE,NORTHBOUND ROUTE E SOUTH OF AKEMAN BRIDGE ROAD,F
ADULT,40,"COLUMBIA, MO",SERIOUS,YES,2024-07-06,1:00PM,BOONE,NORTHBOUND ROUTE E SOUTH OF AKEMAN BRIDGE ROAD,F
ADULT,50,"COLUMBIA, MO",MODERATE,YES,2024-07-06,1:00PM,BOONE,NORTHBOUND ROUTE E SOUTH OF AKEMAN BRIDGE ROAD,F
ADULT,51,"OTTERVILLE, MO",MINOR,NO,2024-07-06,9:40AM,MORGAN,ROUTE D .5 MILE NORTH OF OLIVE BRANCH ROAD,F
ADULT,48,"OTTERVILLE, MO",NO INJURY,NO,2024-07-06,9:40AM,MORGAN,ROUTE D .5 MILE NORTH OF OLIVE BRANCH ROAD,F
ADULT,32,"SEDALIA, MO",MINOR,NO,2024-07-06,9:05AM,CAMDEN,9440 MISSOURI 7,F
ADULT,51,"TIPTON, MO",SERIOUS,NO,2024-07-06,2:15AM,COOPER,CONSERVATION DRIVE 1 MILE NORTH OF WILDLIFE ROAD,F
ADULT,45,"TIPTON, MO",MODERATE,NO,2024-07-06,2:15AM,COOPER,CONSERVATION DRIVE 1 MILE NORTH OF WILDLIFE ROAD,F
ADULT,50,"N LIBERTY, IA",MODERATE,UNKNOWN,2024-07-05,7:25PM,MILLER,US 54 AT MO 52,F
ADULT,42,"N LIBERTY, IA",MODERATE,YES,2024-07-05,7:25PM,MILLER,US 54 AT MO 52,F
ADULT,46,"N LIBERTY, IA",NO INJURY,YES,2024-07-05,7:25PM,MILLER,US 54 AT MO 52,F
ADULT,35,"WRIGHT CITY, MO",MODERATE,NO,2024-07-05,12:25AM,CALLAWAY,WESTBOUND I-70 -- 160 MILE MARKER,F
ADULT,24,"COLUMBIA, MO",MODERATE,YES,2024-07-04,12:35PM,HOWARD,MISSOURI 124 WEST OF COUNTY ROAD 409,F
JUVENILE,16,"FAYETTE, MO",MINOR,NO,2024-07-04,12:10AM,HOWARD,MO 87 SPUR,F
JUVENILE,13,"ARMSTRONG, MO",MINOR,NO,2024-07-04,12:10AM,HOWARD,MO 87 SPUR,F
JUVENILE,14,"GLASGOW, MO",MODERATE,NO,2024-07-04,12:10AM,HOWARD,MO 87 SPUR,F
ADULT,72,"MEXICO, MO",MODERATE,YES,2024-07-01,3:00PM,CALLAWAY,ROUTE J NORTH OF COUNTY ROAD 328,F
ADULT,59,"NEW BLOOMFIELD, MO",MINOR,NO,2024-07-01,3:00PM,CALLAWAY,ROUTE J NORTH OF COUNTY ROAD 328,F
ADULT,36,"CHAMOIS, MO",SERIOUS,NO,2024-06-29,6:15PM,OSAGE,ROUTE C 1/8 TH MILE EAST OF CR 431,F
ADULT,48,"JEFFERSON CITY, MO",SERIOUS,NO,2024-06-28,11:10AM,COLE,MO 179 NORTH OF HIGH POINT ROAD,F
